company_name,rating,bio,salary,job,founded_in,field,other,city
Thermax Limited,4.2,Industrial Machinery | Noida +250 other locations,23700.0,77.5,,Industrial Machinery,Noida +250 other locations,noida
Bajaj Auto,3.8,Automobile | Noida +317 other locations,14500.0,77.5,1945 (81 yrs old),Automobile,Noida +317 other locations,noida
Macleods Pharmaceuticals,3.7,Pharma | Noida +133 other locations,15500.0,10.0,1986 (40 yrs old),Pharma,Noida +133 other locations,noida
Aakash Educational Services,3.2,Education & Training | Noida +244 other locations,13600.0,71.0,1988 (38 yrs old),Education & Training,Noida +244 other locations,noida
Kogta Financial India Limited,4.7,NBFC | Noida +259 other locations,1900.0,115.0,1996 (30 yrs old),NBFC,Noida +259 other locations,noida
Jubilant Foods Works,3.7,Hospitality | Noida +262 other locations,9200.0,192.0,1995 (31 yrs old),Hospitality,Noida +262 other locations,noida
LG Electronics,3.9,Consumer Electronics & Appliances | Noida +298 other locations,11000.0,77.5,1958 (68 yrs old),Consumer Electronics & Appliances,Noida +298 other locations,noida
Royal Enfield,4.2,Automobile | Noida +372 other locations,14800.0,20.0,1901 (125 yrs old),Automobile,Noida +372 other locations,noida
Hindalco Industries,4.2,Metals & Mining | Noida +127 other locations,12400.0,4.0,1958 (68 yrs old),Metals & Mining,Noida +127 other locations,noida
Jindal Steel Limited,3.9,Iron & Steel | Noida +172 other locations,15400.0,31.0,1979 (47 yrs old),Iron & Steel,Noida +172 other locations,noida
John Deere,4.0,Industrial Machinery | Noida +155 other locations,15200.0,1.0,2001 (25 yrs old),Industrial Machinery,Noida +155 other locations,noida
Tata Communications,3.9,Telecom | Noida +102 other locations,23500.0,33.0,1986 (40 yrs old),Telecom,Noida +102 other locations,noida
DCB Bank,3.8,Banking | Noida +341 other locations,9500.0,11.0,,Banking,Noida +341 other locations,noida
HDFC Ergo General Insurance,4.0,Insurance | Noida +324 other locations,12000.0,10.0,2002 (24 yrs old),Insurance,Noida +324 other locations,noida
RBL Bank,3.5,Banking | Noida +284 other locations,18300.0,53.0,1943 (83 yrs old),Banking,Noida +284 other locations,noida
Cummins,4.3,Industrial Machinery | Noida +114 other locations,15500.0,8.0,1919 (107 yrs old),Industrial Machinery,Noida +114 other locations,noida
